순서,용어명,내용
1121,레벨스위치 (Level Switch),특정 수위를 감시하기 위한 것으로 특정 수위에 도달시 작동하여 신호를 발생하는 스위치이다.
1122,"레벨전송기 (레벨傳送器, Level Transmitter)",레벨을 표준신호로 변환하여 전송하는 계기이다.
1123,"레벨조정밸브 (레벨調整밸브, Level Regulating Valve)",액위를 감지하는 기구에 의하여 유체의 양을 조정하여 액위를 일정하게 유지할 수 있는 자동조정 밸브를 말한다.
1124,"레이놀즈수 (Reynolds, Number)","관내 물체주위에 흐르는 액체가 가지는 점성력에 대한 관성력의 비를 나타내고 단위가 없으며 수치로 표시한다. 직경 D인 관내에 점도 M, 밀도 p인 유체가 속도 V로 흐를 때, NRE = DVP/M로 정의된다. 관내에 흐르는 액체의 NRE가 4000보다 큰 경우는 난류 흐름이라 한다."
1125,레이디얼팬 (Radial Fan/Plate Fan),"날개의 출구가 거의 반경방향을 향하고 있는 판날개(경방향 날개)를 갖는 원심팬으로 구조가 간단하고 제작비가 염가이며 원심력에 대한 강도도 있다. 경방향 암에 평판의 날개를 부착하고 날개의 교체를 용이하게 한 것을 패들 팬(Raddle Fan)이라 하고, 팔랑개비의 마모가 심한 분말을 함유한 기체의 수송에 적합하다."
1126,"레이몬드미분기 (레이몬드微粉機, Raymond Mill)",중속도 수직형 미분기이며 석탄은 Bowl이 회전함에 따라 원심력에 의하여 Bowl 주변으로 밀려가면서 Roller와 Bowl Ring 사이에서 분쇄되며 동력소비가 적고 분쇄부분의 수명이 비교적 길며 분쇄실의 크기도 비교적 적다.
1127,레이싱와이어 (Lacing(Tied) Wire),"터빈 블레이드 중간부에서 보통 몇 개의 회전날개 그룹 또는 회전날개 전체를 하나로묶는 쇠줄을 말하며, 회전날개 진동을 감쇠시키는 역할을 한다. Shroud Band를 설치하기 곤란한 긴 블레이드에 사용한다."
1128,레이아웃 (Layout),생산설비의 배치를 의미하며 안전보건관계에서는 특히 생산설비(기계설비)의 배치가 문제로 된다. 최근의 생산설비 중에는 기계와 인간의 혼재작업이나 공동작업이 적지않다. 그 속에서 근로자가 안전하게 작업하기 위해서는 우선 기계의 적정한 레이아웃을 검토할 필요가 있다.
1129,레이즈드-코사인 필터(Raised-cosine filter),"통신에서 부호 간 간섭(ISI: InterSymbol Interference)을 줄이기 위하여 코사인 파형을 정형하여 만든 필터.코사인 파형을 이용하여 부호(symbol) 주기의 시작과 끝 부분을 감소시켜 부호 간 간섭(ISI)을 줄일 수 있다. 레이즈드-코사인 필터는 펄스 정형 필터(pulse shaping filter) 중 가장 일반적인 방법이다. 그림에서, 롤-오프 인수(roll-off factor)가 적을수록 부호 간 간섭(ISI)이 개선된다. "
1130,"레진트랩후치여과기 (레진트랩후치濾過器, Resin Trap Post-Filter)","이온 교환장치(복수탈염장치, 순수제조 장치) 뒤에 위치하여 주로 누설되는 수지의 포집을 위하여 설치하는 여과장치를 말한다."
1131,렘 (Rem),인체가 방사선을 받았을 때의 영향을 나타내는 단위로 기호는 rem이다. 보통 1g의 라듐(1큐리의 방사능)으로부터 1m 떨어진 거리에서 1시간동안 받은 방사선의 영향이 약 1램에 해당된다. 최근에는 rem 대신 시버트(Sv)를 사용한다. 시버트 =1Sv=100rem이다.
1132,"로드쉐딩 (負荷遮斷, Load Shedding)",전기는 저장이 어렵고 비경제적이므로 수요와 공급이 항상 일치되어야 한다. 그러나 전력수요의 증가 또는 공급능력의 감소로 인하여 수급에 불균형이 발생할 경우 전력계통의 주파수가 저하되고 이러한 상태가 심화되면 계통전체에 정전을 초래할 수 있다. 이와 같은 현상을 방지하기 위하여 공급능력에 상응한 수준으로 전력수요를 감소시키기 위하여 적정량의 부하를 차단하는 것을 로드쉐딩이라고 한다.
1133,"로버압축기 (로버壓縮機, Two Lobe Rotary Com- pressor)",두개의 누에고치 모양의 로버 회전운동으로 기체를 압축하는 회전 압축기이다.
1134,로직시퀀스 (Logic Sequence),"접점이 있는 전자릴레이 대신 무접점인 반도체 소자를 사용하여 일련의 회로를 구성시킨 도면(AND, OR, NOT, SS, FF등이 있다) 전력전자공학이 발달되면서 접점이 있는 릴레이의 동작횟수에 따라 릴레이의 수명이 다되는 결점을 보완하기 위하여 무접점의 반도체소자를 이용한 일련의 논리게이트(논리연산을 실행할 수 있는 회로 또는 요소(AND, OR, NOT...) 로 구성된 것을 말한다."
1135,로커암 (Rocker Arm),상하로 움직여 밸브나 연료주입기를 동작시키는데 사용되는 중앙 피봇위의 레버를 말한다.
1136,"로타리건조기 (로타리乾燥器, Rotary Dryer)",습분이 많은 분립체를 회전하는 동체중에 투입하고 열풍에 의하여 가열 건조하는 장치이다.
1137,"로타리버너 (Rotary Burner, Spinning Cup Burner)","고속으로 회전하는 컵의 안쪽으로부터 기름을 공급하고, 얇은 박상으로 분산되는 기름을 컵 주위로부터 분출하는 1차공기에 의해 무화하는 버너."
1138,로타리수트블로어 (Rotary Sootblower),절탄기 등 가스농도가 비교적 낮은 곳에 설치되는 것으로 여러 개의 노즐이 설치된 분사관이 항상 보일러내에 있으며 작동시만 회전하면서 재 등을 청소한다.
1139,"로타예열 (로타豫熱, Rotor Warming)",Rotor의 저온 취성파괴 방지를 위하여 기동전에 주증기와 로타온도와의 차이를 적게 하기 위해 예열하는 것이다.
1140,로터간틈새 (Lobe Clearance),서로 맞물리고 있는 두 로터 프로파일 사이의 틈새이다.
1141,"로터길이/외경비 (로터길이/外徑比, Length Diameter Ratio)",로터의 축방향 길이와 최대바깥 지름과의 비를 의미한다.
1142,"로터리급탄기 (로터리給炭機, Rotary Feeder)",임펠라식 급탄기이다.
1143,로터리기어펌프 (Rotary Gear Pump),같은 모양의 2개의 기어가 케이싱 속에서 맞물려 회전하며 액체를 수송하는 펌프이다.
1144,로터리씰 (Rotary Seal),석탄 슈트의 도중에 설치되어 역류를 방지하는 장치이다.
1145,로터스트레스지시기 (Rotor Stress Indicator (RSI)),"Shell Inner Metal의 시간과 온도의 실적을 측정하여 컴퓨터를 이용해서, 허용할 수 있는 Thermal Stress의 백분율로 Hp 및 Ip 터빈의 표면스트레스와 Bore 스트레스를 나타내며 Thermal Cycle 동안의 수명소비의 누계를 Counter에 나타낸다."
1146,로터프로파일 (Rotor Profile),로터를 축에 직각인 면으로 절단하였을 때의 모양이다.
1147,"로테뮬러공기예열기 (로테뮬러空氣豫熱器, Rothemuhle Air Preheater)",고정식 공기예열기로서 전열소자 (Heating Element)는 고정되어 있고 연소가스 또는 연소용 공기가 흐르는 전열소자 양측의 Hood를 회전시켜 열교환을 하는 공기예열기를 말한다.
1148,로프트를리석탄양하기 (Rope-Trolley Type Coal Unloader),호이스장치로 로프를 이용하여 트롤리를 이동(전차선로상 이동)하는 형태의 석탄 하역기이다.
1149,록/쇄정 (Lock),어떤 조건이 구비되기 까지 동작을 저지하는 것이다.
1150,록너트 (Lock Nut),보통 볼트는 한개의 너트로 죄는데 진동 등으로 이완되는 곳에서는 이를 방지하기 위해 두개의 너트를 사용하며 이때 아래쪽에 끼우는 높이가 다소 낮은 Nut를 말하며 Check Nut라고도 한다.
1151,록아웃 (Lockout),"회로나 장비를 비활성화 시키는 동작으로 록아웃은 회로나 장비가 누가, 언제, 왜 락아웃했는지를 나타내는 레드태그나 맹꽁이자물쇠와 같은 록킹 장비의 사용을 포함한다."
1152,"록아웃계전기 (록아웃繼電器, Lockout Relay)","일종의 보조계전기로서, 주계전기에 의해 동작되어 제3의 장치나 계전기를 동작시키며, 보조점검 계전기의 입력이 제거되어도 원상 복귀하지 않고 록아웃계전기의 계전기의 수동복귀조작(또는 자동복귀조작)에 의해서만이 제3의 장치나 계전기의 원상복귀가 가능하게 된다. 주로 발전기, 변압기 등 중요설비의 주 보호계전기의 보조 계전기로 사용되며 보일러 및 터빈의 보호계전기로 사용된다."
1153,"록아웃장치 (록아웃裝置, Lockout Device)","터빈이나 기기 등을 트립시키지 않고 비상 조속기 또는 보호장치를 시험하기 위한 장치 즉 비상정지시 신속히 닫아야 할 주요밸브(MSV, RSV, CV, ICV, 추기 Check Valve)의 Disc Dump (Relay Dump) Valve에 공급되는 제어유를 바이패스시켜 보호장치가 동작하더라도 각 Disc Dump Valve로의 제어유를 차단하지 않기 위해 사용된다."
1154,롤러밀 (Roller Mill),수직형 미분기로서 롤러가 수직축에 매달려 회전하면서 Ring Race 사이에서 석탄을 분쇄하므로 저부하시 금속간 마찰과 진동이 심하고 비교적 동력소비가 많다.
1155,롤러베어링 (Roller Bearing),볼 베어링의 볼 대신 특수강제의 원통형 로울러를 사용한 베어링으로 볼 베어링보다 큰 하중에 적합하나 고속도에는 적합치 못한다.
1156,롤백 (RollBack),프로그램에 의하여 바로직전에 취해진 체크포인트로 되돌아오는 것이다.
1157,"롬/판독전용기억장치 (롬/判讀轉用記憶裝置, Read Only Memory(ROM))","기억된 자료를 다시 변경하거나 컴퓨터에 의해 추가로 기억시킬 수 없고 단지 출력(판독)만이 가능한 기억장치로서, 한번 기억된 내용은 전원이 단절되어도 소멸되지 않는 특징이 있다. MASK ROM, PROM, EPROM, PLA 등이 있다."
1158,롱리트렉트티블슈트블로어 (Long Retractable Soot- blower),"보일러 튜브가 밀집된 과열기나 재열기 부위의 Ash 제거에 사용되며 끝에 2개의 Nozzle을 가진 긴 분사관이 회전하면서 약 2m/분의 속도로 전진, 후진하면서 청소한다. 전, 후진 행정은 최대 10m정도이여 분사매체로는 7㎏/㎠ 정도의 과열증기나 압축공기를 사용한다."
1159,루버 (Louver),"파이프의 공기흡입구 또는 배출구에 설치하여 공기량, 유동방향을 조절하기 위한 비늘창살형 장치이다."
1160,"루프교체 (루프交替, Loop Change)","발전소 또는 변전소를 동일 전력계통내의 타송전계통 또는 타회선에 교체하는 경우 정전없이 행하는 방법으로, 교체하고자 하는 개폐기를 투입하여 일단 루프로 하고나서 지금까지 송전 또는 수전했던 개폐기를 개방하여 교체하는 방법"
1161,리눅스(Linux),"1991년 핀란드 헬싱키 대학 학생이던 리누스 토발즈(Linus Torvalds)가 대형 기종에서만 작동하던 운영 체계인 유닉스를 386 기종의 개인용 컴퓨터(PC)에서도 작동할 수 있게 만든 운영 체계. 인터넷을 통해 프로그램 소스 코드를 완전 무료로 공개하여 사용자는 원하는 대로 특정 기능을 추가할 수 있을 뿐만 아니라, 어느 플랫폼에도 포팅이 가능하다. 이러한 장점 때문에 일반 기업과 인터넷 서비스업체, 연구 기관 등에서 수요가 늘어나고 있다. 우리나라에서도 1999년부터 리눅스 사용자가 꾸준히 증가하면서 리눅스를 상품화하려는 업체들이 늘고 있으며, 리눅스의 설치 및 구성, 그리고 관리 운영 기술 및 프로그램 작성 교육이 점차 활발해지고 있다."
1162,"리니어전동기 (리니어電動機, Linear Motor)","동기전동기의 1차측 및 2차측을 축방향으로 설치한 것으로 회전 운동을 직선운동으로 변환하는 전동기이다. 항상 동기제어를 해야하나 고속역까지 역율, 효율이 높고 지상과의 공극이 크게 취해지며 부상자석이나 지상코일이 가이드용과 겸용할 수 있는 등 고속특성이나 구성면에서 우수하다."
1163,리니어파워서플라이 (Linear Power Supply),"변압기, 정류기, 필터 커패시터로 구성되어 있고, 일정한 출력전압을 유지하기 위해 전압강하를 변화시키는 통과장치가 뒤에 연결되어 있다. 리니어파워 서플라이는 전압조정, 리플, 과도응답, 출력 임피던스 에서는 최고의 성능을 보증하지만 크고 무겁고 효율이 낮다."
1164,리드타임 (Lead time),"무언가를 하려고 결정한 순간부터 그 일이 완전히 끝날 때까지 걸리는 시간을 말한다. 구매에 대해 말하자면, 구매부서에서 주문하여 생산된 제품이 입고될 때까지의 시간이다."
1165,리밋스위치 (Limit Switch),"어떤 기기가 운전범위를 넘어서 움직일 때, 기계적으로 접점을 동작시켜 어느 한도 이상 벗어나는 것을 검출하는 장치로 주로 전동기에 의하여 조작되는 기구의 보호장치에 사용된다."
1166,리베팅임펠러 (Riveting Inpeller),"블레이드와 주관, 측관 또는 허브를 리베팅으로 연결시킨 임펠러를 말한다."
1167,리벳 (Rivet),"두개의 강판을 서로 연결하기 위해 사용하는 부품으로 연강봉의 한쪽끝에 머리가 달려 있으며 이것을 빨갛게 달구어 두들겨 찌그려뜨려 죄어 맞춘다. 듀랄류민에는 알루미늄리벳, 동판에는 구리리벳을 사용한다."
1168,리벳이음 (Riveted Joint),"리벳을 사용하여 철판, 형강등을 영구적으로 체결하는 방법이다."
1169,리브드튜브 (Ribbed Tube),튜브 내면에 나선형의 홈이 가동된 관으로 증발관 또는 열부하가 높은 부위에서 증기의 건도가 높아지면 막비등이 발생되어 튜브를 과열시킬 염려가 있는데 이 경우 Ribbed Tube를 사용하면 관벽두께의 차이로 열전달율이 달라져서 높은 열부하 구역에서도 핵 비등을 유지할 수 있다. 관류보일러의 일부 증발관에 사용된다.
1170,리셉터클 (Receptacle),전구 또는 플러그를 꽂는 소켓이다.
1171,리셋 (Reset),록 아웃 상태 또는 작동후의 보호장치를 정상상태로 되돌리는 것이다.
1172,"리셋동작 (리셋動作, Reset Action)",조작량이 편차의 시간적 적분에 비례하여 동자하는 것으로 비례동작의 결점인 잔류편차를 없애 주는 동작으로 Integralaction 이라고도 한다.
1173,리액터 (Reactor),"무효전력의 양을 적정수준으로 조정하기 위한 조상설비(調相設備)의 일종으로 리액터는 전류의 흐름을 억제하는 유도성 리액턴스로서, 전력용 콘덴서와 반대기능을 수행하여 무효전력의 증가를 흡수(상쇄)함으로써 전압을 낮추는 역할을 한다. 야간 시간대에는 부하측의 유도성 리액턴스가 감소하는 반면, 송전선로에서 자연적으로 발생되는 용량성 리액턴스가 증가하여 계통전압이 상승하기 때문에 이를 억제하기 위하여 초고압 송전선로나 지중선로가 집중되어 있는 지점에 리액터를 설치하여 운영하고 있다. 리액터는 소용량 단위로 투입 분리할 수 있을 뿐 아니라 운전 보수가 용이하고 비용이 저렴하여 현재 널리 사용되고 있다."
1174,리액턴스 (Reactance),"교류회로에서 전류의 정상적인 흐름에 영향을 미치는 전기적 특성의 일종을 말하며, 유도성 리액턴스(L)와 용량성 리액턴스(C)가 있다. 유도성 리액턴스는 교류회로에서 전류의 흐름을 억제하여 무효전력을 증가시키는 특성을 말하며, 용량성 리액턴스는 전류의 흐름을 촉진함으로써 무효전력을 증가시키는 특성을 말한다. 전력부하가 많은 주간에는 유도성 리액턴스로 인한 무효전력이 크게 증가하기 때문에 용량성 리액턴스 공급을 증가시켜 유도성 리액턴스를 감소(상쇄)시킬 수 있다. 또한 부하가 적은 야간에는 용량성 리액턴스가 증가되므로 유도성 리액턴스 공급을 증가시켜 전력계통내 무료전력 양을 적절히 조정하고 계통전압을 적정하게 유지할 수 있다. 직류의 경우 주파수가 0이므로 전류의 흐름을 방해하는 것은 저항뿐이며 리액턴스가 존재하지 않는다."
1175,리프트체크밸브 (Lift Check Valve),밸브디스크가 밸브몸통 또는 카버에 만들어진 안내(Guide)에 의하여 밸브시트에 대하여 수직으로 작동하는 체크 밸브를 말한다.
1176,리프트콕 (Lift Cock),마개의 회전뿐만 아니라 마개를 들어올려 토크의 감소를 도모하는 기구를 가지는 콕이다.
1177,리플 (Ripple),1.리플전압 및 리플전류의 총칭으로 교류 전압이나 전류에 섞여진 고조파 성분 또는 직류전압과 전류에 포함된 교류분을 말한다.2.정류회로에서 교류를 정류한 경우 직류분에 남는 교류의 성분이다.
1178,리플레이서빌리티 (Replaceability),수리 또는 예방보전을 위해 일부의 부품을 손상 때문에 교체하거나 또는 규정수명이 다하여 교체하는 경우에 주위의 부품을 건드리지 않고 그대로 교체할 수 있는가 없는가의 정도를 말한다. 리플레이서빌리티가 양호하다고 하는 것은 보전공수(保全工數)가 적어서 보전율이 작아지는 것이다.
1179,리허빌리테이션 (Rehabilitation),"사회복귀, 회복훈련, 갱생 등을 뜻한다. 심신에 장해가 있는 사람에게 의학적, 심리학적, 직업적인 모든 수단을 사용해서 기능회복을 도모하는 사회적 원조이다. 구체적으로는 산업재해에 의해서 인체의 일부가 노동 불능이 된 사람에게 기능회복훈련을 실시하여 사회에 복귀시키는 것을 말한다. 이것을 하려면 근육과 관절의 가동테스트를 비롯하여 지각테스트, 중추신경계테스트, 심리평가, 언어평가, 언어평가, 직업평가 등의 검사테스트에 근거하여 이에 적응한 운동요법, 언어훈련, 직업훈련 등으로 기능회복을 도모한다."
1180,릴레이덤프밸브 (Relay Dump Valve),터빈 트립시에 작동하여 각 터빈 밸브 유압구동 장치에 공급되는 제어유를 차단하여 터빈을 정지시킨다.
1181,릴리프밸브 (Relief Valve),비압축성 유체를 다루는 펌프나 배관계통에 설치되어 압력이 비정상적으로 상승하였을 때 내부액체를 배출하여 설비를 보호하는 밸브로 상류측 정압에 의해 작동한다.
1182,링겔만 매연농도표,"간편한 매연농도 측정방법으로 링겔만 농도표가 많이 사용된다. 링겔만(Ringelman)이라는 사람이 창안한 방법으로 매연의 정도에 따라 색이 진하고 연하게 나타나며, 이를 링겔만 표준농도표와 비교하여 매연농도를 측정한다"
1183,"링겔만매연농도표 (링겔만煤煙濃度表, Ringelmann Smoke Chart)","굴뚝 등에서 배출되는 매연의 농도를 측정하는 표로서 가로 14cm, 세로 15cm의 백상지에 각각 0, 1.0, 2.3, 3.7, 5.5mm 전폭의 격자형 흑선을 그려 백상재의 흑선부분이 전체의 0%, 20%, 40%, 60%, 80%, 100%를 차지하도록 하여 이 흑선과 연도에서 배출되는 매연의 검은 정도를 비교하여 각각 0도에서 5도까지 6종으로 분류한다."
1184,링기어 (Ring Gear),디젤 플라이훨 외부에 설치된 기어로 엔진을 시동하는데 사용된다.
1185,마칭 (Marquenching),강철을 오스테 나이트로 부터 마르텐 사이트로 되는 온도 부근의 액체속에서 담금질하여 강철의 온도가 일정하게 유지될 때까지 유지한 다음 공기로 냉각시키는 열처리 작업이다.
1186,"마그네틱 안전전송(Magnetic Secure Transmission,MST)",루프안테나가 내장된 휴대폰을 마그네틱 결제단말기에 근접시켜 신용카드 정보를 전송하는기술.마그네틱 신용카드를 마그네틱 결제단말기에 접속시킬때 발생되는 자기장과 동일한 자기장을 휴대폰에서 발생시켜 무선으로 신용카드 정보가 결제단말기에 전달한다. 마그네틱 보안전송기술은 기존 마그네틱 결제단말기를 교체할 필요없이 편리하게 모바일결제를 이용할 수 있다. 미국 루프페이(LoopPay)사가 개발한 기술이다. 
1187,마노미터 (Manometer),"압력측정용 2개의 액주 사이의 변위를 이용하여 게이지 압력, 차압, 대기압, 절대압을 측정하는데 사용되며 가장 일반적으로 사용되는 액체는 수은과 물이다. U자관, 단관, 경사관 마노미터가 있다."
1188,"마력 (馬力, Horse Power(HP/PS))",동력의 단위이며 MKS 단위계에서는 PS로 English 단위계에서는 HP로 사용한다. PS:1초동안 75kg을 1m 이동하는 일에 해당하는 동력이다. IPS=75kg m/sec = 0.735kJ/sec = 0.735kW = 632 kcal/hr. HP : 1초동안에 550LB를 1ft 이동하는 일에 해당하는 동력.
1189,"마모 (磨耗, Wear, Abrasion)","마찰하여 닳는 현상이며 재료의 조합, 미끄럼 속도, 온도, 윤활의 정도에 따라 마모속도가 정해진다."
1190,"마모여유 (磨耗餘裕, Wear Allowance)",한계 게이지의 통과측은 마모때문에 치수가 달라지게 되므로 게이지의 수명을 보전하기위하여 마모에 대비하여 덧붙이는 여유이다.
1191,마샬링캐비닛 (Marshalling Cabinet),발전소나 공정 현장 결선을 위해 터미날 보드를 갖춘 캐비닛으로 서로 다른 위치로 오고가는 결선은 제어설비의 I/O 요구조건(여러가지의 전송기나 센서를 위해 필요한 신호 처리 장비를 가짐)에 맞도록 적절히 재배열된다.
1192,마스터트립 (Master Trip),보일러 및 증기터빈 운전중 이상사태 발생시 비상 조속기를 인위적으로 트립시키는 것이다.
1193,마스터파일/주파일 (Master File),"기본이 되는 정보를 모두 기록한 파일로서 각 정보는 비교적 장기간에 걸쳐 파일에 남아 있으며 주기적인 변동에 대해서도 추가, 삭제 등이 가능할 뿐만 아니라 갱신이나 참조가 되기도 하고, 다음의 처리주기로 이월되기도 한다(예: 급여마스터 파일)."
1194,마우스링 (Mouth Ring),임펠러 측판의 안쪽 둘레부에 고정시켜서 흡입기체를 블레이드로 유도함과 더불어 블레이드에서 나온 기체가 흡입측으로 역류하는 것을 막는 링이다.
1195,"마이에스큐엘(my Structured Query Language,mySQL)","표준 데이터베이스 질의 언어인 SQL(Structured Query Language)을 사용하는 개방 소스의 관계형 데이터베이스 관리 시스템(RDBMS). 매우 빠르고, 유연하며, 사용하기 쉬운 특징이 있다. 다중 사용자, 다중 스레드를 지원하고, C,C++, Eiffel, 자바, 펄, PHP, Python 스크립트 등을 위한 응용 프로그램 인터페이스(API)를 제공한다. 유닉스나 리눅스, 윈도 운영 체제 등에서 사용할 수 있다. LAMP, 즉 리눅스 운영 체제와 Apache 서버 프로그램, MySQL, PHP 스크립트 언어 구성은 상호 연동이 잘되면서도 오픈 소스로 개발되는 무료 프로그램이어서 홈 페이지나 쇼핑몰 등 일반적인 웹 개발에 널리 이용되고 있다. mySQL은 오픈 소스 라이선스를 따르기는 하나 상업적으로 사용할 때에는 상업용 라이선스를 구입해야 한다"
1196,마이크로그리드(Microgrid),소규모 지역에서 전력 자급자족할 수 있는 스마트그리드 시스템으로 소규모 독립형 전력망으로 태양광 풍력 등 신재생에너지원과 에너지저장장치(ESS)가 융 복합된 차세대 전력체계
1197,"마이크로반송계전방식 (마이크로返送繼電方式, Micro Wave Carrier Relaying)",반송파의 통신수단으로 Micro Wave 설비를 이용하여 무선으로 송수신하는 반송계전 방식으로 Micro Wave 설비가 갖추어진 곳에서는 적은 비용으로 이용이 가능하고 고속도 보호를 위해 필요할 경우 여러 개의 Channel을 동시에 보호할 수 있으며 전송수단이 전력선과 별개이므로 전력계통 서지등의 영향을 받지 않는 장점이 있다.
1198,마이크로웨이브,전자기파의 일종으로서 파장의 크기는 3mm에서 1.3m 범위에 있으며 주로 텔레비전이나 라디오 등의 통신에 사용됨
1199,"마이크로조직검사 (마이크로組織檢査, Microscopic Examination, Micrography)",재료의 피검사면을 부식액으로 처리하여 현미경으로 금속조직 등을 검사하는 것이다.
1200,마이핀(MY-PIN),"개인 정보 보호를 위해 2014년 8월 7일 개인정보보호법의 시행에 따라 도입된 주민 등록 번호를 대신할 수 있는 무작위 13자리 번호.마이핀에는 나이, 출생지, 성별 등 개인 식별 정보는 전혀 포함되지 않으며 유출될 경우 폐기할 수 있고 연 5회까지 변경이 가능하며 유효 기간은 3년이다. 마이핀은 공공 아이핀 센터(www.g-pin.go.kr), 동 주민센터, 본인 확인 기관인 나이스 평가 정보ㆍ서울 신용평가 정보ㆍ코리아크레딧뷰 누리집(홈페이지)에서 발급받을 수 있으며, 아이핀을 발급받았으면 발급 기관 누리집에서 마이핀을 확인한 후 사용할 수 있다. 마이핀 제도가 정착되면 법령상 수집 근거가 있는 경우에만 주민 등록 번호를 사용하고 그 외 대형 마트·백화점·극장·홈 쇼핑 등 일상에서는 마이핀으로 본인을 확인할 수 있으며 회원 카드 발급이나 자동 응답 시스템(ARS) 상담 시 본인 확인, 도서관에서 이뤄지는 도서 대여 등에 활용할 수 있다. "
1201,"마찰계수 (摩擦係數, Coefficient of Friction)",서로 접하는 두 물체의 접촉면에 생기는 마찰력과 수직으로 작용하는 힘의 비를 의미한다.
1202,"마찰손실 (摩擦損失, Friction Loss)","Disc, Blade 및 Shroud 원주마찰에 의한 터빈의 손실을 말한다."
1203,"마찰손실수두 (摩擦損失水頭, Friction Head)",유체가 고체표면과의 마찰에 의하여 잃은 에너지를 수두로 표시한 것이다.
1204,마하수 (Mach Number),기체의 속도와 기체중의 음속과의 비로 유체의 속도를 그 유체속에서 전파하는 소리의 속도로 나눈 수이다.
1205,"막비등 (膜沸騰, Film Boiling)","가열된 튜브 내면에서 연속적으로 기포가 발생되어 튜브 내면이 증기막으로 싸이는 현상이며, 증기는 물보다 열전달율이 낮아 막비등이 발생되면 튜브의 온도가 급격히 상승되어 튜브가 과열될 우려가 있다. 관류 보일러는 약간의 막비등이 허용되고 있으며 순환 보일러는 노의 고온부에서 막비 등이 발생하는 경우가 있다."
1206,"말뚝기초 (말뚝基礎, File Foundation)","말뚝을 박아 만든 기초로서, 나무 말뚝, 철근 콘크리트 말뚝, 강제 말뚝 등에 의한 기성 말뚝기초와 현장에서 그 위치에 구멍을 뚫어 콘크리트를 넣어서 만들어지는 콘크리이트 말뚝기초가 있다."
1207,"맞대기용접 (맞대기鎔接, Butt Welding)",끝면을 마주대고 접합하는 용접방법이다.
1208,매니폴드 (Manifold),비교적 작은 지름의 연결관들을 집합 또는 분리하는 용기이다.
1209,"매립지가스(Land Fill Gas,LFG)",쓰레기 매립지에 매립된 폐기물 중 유기물질이 혐기성 분해 과정에 의해 분해되어 발생되는 가스를 말하며 그 성분은 주로 메탄(CH4;40∼60%)과 이산화탄소(CO2;30∼50%)로 구성된다.
1210,"매설지선 (埋設地線, Counter Poise)","송전선로의 철탑 혹은 가공지선이 직격뇌를 받게 되면 뇌전류가 철탑의 다리를 통해서 대지로 흐르게 된다. 이때 접지저항 및 철탑재의 저항에 의해서 철탑암부 등의 전위가 상승, 철탑과 전선사이에 섬락이 일어난다. 이를 역섬락이라고 한다. 이 역섬락 현상은 뇌전류와 철탑다리 접지저항치와의 곱에 비례하므로 역섬락 사고를 방지하기 위해서는 접지저항을 경감시켜야 된다. 이 접지저항을 저감시키기 위해서는 지표면에서 30～50[㎝]정도 깊이에 직경 2.6[㎜], 7가닥으로 구성된 아연도철연선을 지표면에 따라 시설한다. 이것을 매설지선이라 한다."
1211,"매연 (煤煙, Smoke)",연료 또는 기타물질의 연소시 불완전 연소결과로 발생하는 1㎛ 이하의 탄소입자로 미세한 연무질의 입자이다.
1212,"매연농도 (煤煙濃度, Smoke Density)","매연발생원(굴뚝, 차량 등)의 배출구에서 대기중으로 배출되는 매연의 배출농도를 말한다. 측정방법으로는 Ringelmann 매연 농도표가 있으며 이는 매연중의 미연소 탄소분을 주성분으로 하는 흑연의 농도를 측정하는 것이다. 이와 유사한 것으로 로파즈 농도표가 있으며 이들 두 측정법의 결점을 보완한 망원경식 매연 농도 측정기나 Telesmoke 등이 있다."
1213,"매크로부식시험 (매크로부식試驗, Macro Etching)","강재의 면을 산으로 깊게 부식시키면 결정조직, 흠집 등이 여러가지 모양으로 나타나서 육안으로 조직을 검출하는 것이다."
1214,"매크로언어 (매크로言語, Macro Language)",몇 개의 매크로 명령으로 구성되는 언어 체계로서 경우에 따라 매크로 명령어와 같은 뜻으로 사용된다.
1215,"매크로조직, 육안조직 (肉眼組織, Macro Structure)",가공재의 단면을 깨끗이 연마한 다음 약품으로 적절히 부식시키면 재료의 흐름이나 결함상태를 알 수 있다. 이것을 매크로 조직이라 한다.
1216,"매크로조직검사 (매크로組織檢査, Macroscopic Examination/Macrography)",재료의 피검사면을 연마 또는 부식액으로 처리하여 육안으로 금속조직 또는 결함등의 상태를 조사하는 것이다.
1217,"매트기초 (매트基礎, Mat Foundation)",많은 기둥과 벽으로 이루어진 상부구조물을 넓은 단일의 기초판으로 지지하는 것으로 건물이 무겁고 지지력이 작은 때에 사용된다. 자연기초 또는 Raft 기초라고도 한다.
1218,"맥동연소 (脈動燃燒, Pulsating Combustion)","연료의 연소과정에 노내 압력의 급격한 변화 등의 원인에 의하여 연소실내에 진동이 발생되고 이에따라 연소상태가 불안정하게 되는 현상으로 원인은 연료와 공기량의 불균형, 연소용 공기량이 너무 적을 때, 연료의 분사압력 변동이 심할 때, 버너의 분무상태 불량 등이다."
1219,"맥동율 (脈動率, Ripple Percentage/Pulsation Factor)",교류분을 포함한 직류에 있어서 평균값(Vd)에 대한 교류분 실효값(V)의 비를 말한다.ε=V / Vd × 100
