발전용어(한글명),발전용어(한문명_영문명),내용
신축이음 ,"伸縮이음, Flexible Coupling","연결하는 양측의 중심을 일치시키기 곤란할 때 고무, 가죽 등의 탄성체를 사용하여 양축을 연결시키는 이음이다."
시료수 ,"試料水, Test Water","수질 시험을 하기 위해 채취한 물을 말하며, 시료수의 채취는 시험목적에 접합하도록 대표할 수 있는 시료를 채취하여야 한다."
아역청탄 ,亞瀝靑炭 Sub-Bitumnous Coal,"역청탄중 탄화도가 낮은 것으로서 점결성이 없고 수분이 많으며 건조시 소리를 내며 갈라지고 대기중에 장시간 방치하면 분해된다. 발열량은 무수무회기준으로 4,600-6,400kcal/ kg정도이다"
안내날개 ,案內날개 Guide Vane,"펌프, 송풍기, 압축기의 날개차나 회전익렬의 입구 및 출구에 장치되어 있는 정지날개이다. 입구의 안내날개는 유입되는 액체를 미리 회전방향으로 선회시켜 유입손실을 감소시키는 것으로 인듀서라고 한다. 출구의 안내날개는 날개차 또는 회전익렬로부터 유출되는 유체가 갖는 선회속도에너지를 정압으로 회수한다. 축류기계에서는 후치정익, 원심기계에서는 디퓨저라고 한다."
안전밸브 ,安全밸브 Safety Valve,"드럼, 과열기, 재열기 등 압력용기에 설치하여 규정압력 이상으로 압력이 상승할 경우 손상을 방지하기 위해 유체를 외부로 방출하는 밸브를 말한다."
암모니아,Ammonia,"상온에서는 무색 특유의 자극성 냄새가 있는 기체이며, 고체는 입방격자, 격자상수 δ=5.10A, 융점 -77.7℃, 지점 -33.4℃, 밀도 0.76g/ℓ(0℃,  1 atm), 비중 d=0.676 (-33.4℃액체), 임계온도 132.4℃, 임계압력 112atm, 20℃에서 액화압력 8.46atm, 융해열 108cal/g, 증발열 327cal/g(비점), 용해도 52.0g/100㎖ - H₂O(20℃)이고 에테르에도 녹는다. 암모니아는 이를 물에 녹인 수용상태의 암모니아수, 액화시킨 액체암모니아로 시판된다. 용도는 비료나 질산의 제조원료, 각종 암모늄염 제조, 냉동제 등 용도가 넓으며, 특히 발전소에서는 각종 용수의 pH 조절 및 집진성능 향상제로 이용된다."
암모니아 혼소발전,Ammonia Co-firing,"암모니아 혼소발전은 석탄과 암모니아를 혼합해 이뤄진다. 암모니아는 무탄소 연로로 활용 가능하고, 보관과 수송이 편리하며, 수소와 호환성도 높다. 그러나 자연발화 온도(650˚C)와 최소 점화 에너지(680mJ)가 높아 그 자체로 연료 활용은 어렵다. 이에 석탄을 섞어 단점을 보완하고, 장점을 살리는 것이다. 암모니아 혼소발전은 탄소 배출이 기존 석탄발전보다 적으면서도 터빈과 같은 기존 발전소 장비, 송 · 배전선로 등의 인프라를 그대로 활용 가능하다"
압력용기 ,壓力容器 Pressure Vessel,내부에 대기압을 초과하는 압력의 유체를 보유하는 용기를 말한다. 보일러의 내압부분을 포함해서 호칭하는 경우도 있으나 일반적으로 보일러 이외의 압력용기를 가르킨다. 압력용기는 종류와 규모가 여러가지이고 보유에너지 등의 위험성도 각각 다르다. 압력용기는 폭발의 위험이 있기 때문에 압력방출장치를 설치하고 1년에 1회 이상 표준 압력계를 이용하여 토출압력을 시험하고 납으로 봉인하여 사용해야 한다. 또 다단형 압축기 또는 직렬로 접촉된 공기압축기에는 과압방지 압력방출 장치를 각단마다 설치해야 한다.
압입통풍팬 ,壓入通風팬 Forced Draft Fan[FD Fan],보일러에 공급하는 공기를 대기압 이상으로 가압해서 연소장치에 보내며 보일러에 필요한 통풍력을 주어 화로에서 양호한 연소를 얻도록 설계된 통풍기이다.
압축기 ,壓縮機 Compressor,"임펠러 또는 로터의 회전운동 또는 피스톤의 왕복운동으로 기체를 압송하며, 압력비가 2이상 또는 송출압력이 1kgf/㎠[0.1MPa] 이상인 기계장치이다."
애시호퍼 ,Ash Hopper,"석탄 연소 보일러에서 발생하여 포집된 저회(Bottom Ash)와 비회(Fly Ash)를 일시 저장하는 용기이다. 노 하부에는 저회 저장조가 설치되며 주로 비회를 저장하는 저장조로써 절탄기, 공기예열기, 전기집진기 하부에 설치된다."
액츄에이터 ,Actuator,"프로세스에서 제어신호로서 기계장치(밸브, 댐퍼, 펌프 등)의 위치를 변환시키는 최종제어요소의 한 부분이다. 예) Motors, Solenoids, Cylinders, Pneumatic Diaphragms 등 Motors, Solenoids, Cylinders, Pneumatic Diaphragms 등"
양정 ,"揚程 Lift, Head","펌프가 양수하는 높이, 흡입수면에서 송출수면까지의 높이를 실양정이라 하며 도중의 손실을 생각해서 실양정에 가산한 것을 전양정이라 한다. 펌프 운전에 의해 만들어지는 수두, 단위무게의 유체가 갖는 기계적 에너지를 그 유체의 액주높이로 표시한 것을 수두(Head)라 하고, 압력수두, 위치수두, 속도수두가 있으며 낮은 곳에 있는 액체를 높은 곳으로 끌어올리는 것을 Lift라 하며 흡입압력수두(Suction Head)가 음(-)일때를 통상 Suction Lift라 한다."
역청탄/유연탄 ,瀝靑炭/有煙炭 Bituminous Coal,"우리나라에서는 유연탄이라고 하며 중생대에서 생성된 것으로 외관은 담흑색 또는 칠흑색이다. 수분은 6% 이하이고 발열량은 6,000~ 8,000kcal/kg이며 점결성이 역청탄 특유의 성질이며 점결성에 강약이 있고 비점결성의 것도 있다."
연돌 ,煙突 Chimney/Stack,연소가스가 보일러 또는 노에서 나와서 대기에 이르게 하는 마지막 통로이다.
연료전지 ,燃料電池 Fuel Cell,"연료의 산화에 의해서 생기는 화학에너지를 직접 전기에너지로 변환시키는 전지이다. 일종의 발전장치라고 할 수 있으며 산화, 환원반응을 이용한 점 등 기본적으로는 보통의 화학전지와 같지만, 닫힌 계내에서 전지반응을 하는 화학전지와 달라서 반응물이 외부에서 연속적으로 공급되어 반응생성물이 연속적으로 계외로 제거된다. 가장 전형적인 것에 수소-산소 연료전지가 있으며 수소 외에 메탄과 천연가스 등의 화석연료를 사용하는 기체연료와 메탄올(메틸알코올) 및 히드라진과 같은 액체연료를 사용하는 것 등 여러 가지의 연료전지가 나왔다. 이 중에서 작동온도가 300℃ 정도 이하의 것을 저온형, 그 이상의 것을 고온형이라고 한다. 또 발전효율의 향상을 꾀한 것이나 귀금속 촉매를 사용하지 않는 고온형의 용융탄산염 연료전지를 제2세대, 보다 높은 효율로 발전을 하는 고체전해질 연료전지를 제3세대의 연료전지라고 한다."
연소기 ,燃燒機 Combustor / CombustionChamber,"가스터빈에서 팽창과정 이전에 작동유체를 터빈입구 온도까지 가열할 목적으로 연료를연소시키며 또 공기를 혼합하는 장치이다. 작동원리는 압축기에서 압축한 고압공기에 연료를 압입분사하여 혼합기를 형성시키고 착화기로 점화시켜 연소토록 하는 것으로 1차연소부와 2차연소부로 나눌 수 있다. 연소에 필요한 공기대 연료비가 15:1 정도 이므로 연소실을 통과하는 공기의 25%정도는 1차 연소부로 유입되어 1800~2200도 정도인 연소가스온도를 터빈입구온도까지 저하시키고 연소실 재료를 냉각시킨다. 보통 연소기는 연료주입노즐, 공기선회익, 화염통, 연소하는 유도관으로 구성되며 캔형(Can Type), 에눌러형(Annular Type), 캔에눌러형(Can-Annular Type), 사이로형(Silo Type)으로 분류함."
열교환기 ,熱交換機 Heat Exchanger,"어떤 유체가 가지고 있는 열에너지를 전도, 대류 및 복사의 열전달 원리를 이용하여 다른 유체에 전달할 수 있도록 제작 설치한 열교환 장치이며 두 유체의 유동방향에 따라 대향류와 병향류로 분류한다. 증기터빈 사이클에서는 주로 전도 및 대류 열전달을 이용한 열교환기가 사용된다."
열병합발전 ,"熱倂合發電 Combined Heat and Power, Cogeneration",화력발전의 일종으로 발전과 아울러 증기 터빈에서 추기 또는 배기한 증기를 열원으로 하여 지역난방이나 산업용 열을 공급하는 발전방식이다.
운탄기 ,運炭機 Coal Conveyor,고무벨트를 이용하여 석탄을 연속적으로 운반하는 장치이다.
원심펌프 ,遠心펌프 Centrifugal Pump,날개차에서 토출되는 흐름이 주로 주축에 수직인 평면안에 있으며 날개차의 회전에 의한 원심작용에 의해 액체에 에너지를 부여하는 형식의 펌프이다.
유동층연소 ,流動層燃燒 Fluidized Bed Combu- tion,"연소로 내부에 유동매체인 모래 혹은 Ash를 충전한 후 연소로 하부에서 공기를 주입하여 유동화된 유동층에 연료를 주입하여 연소시키는 것으로, 다양한 연료의 사용이 가능하고 유동매체, 연료 및 석회석을 혼합연소시킴으로써 별도의 탈황설비가 필요 없으며 노내 온도가 낮아 NOx 생성 억제에도 유리하다."
유체커플링 ,流體커플링 Hydraulic Coupling,원동축에 연결된 펌프 Wheel에 의하여 가속된 유체가 종동축에 연결된 터빈 Wheel에 운동에너지를 전달하므로서 동력을 전달하는 유체이음으로 토크를 변환시키지 않고 동력을 전달하는 기계장치다.
인터셉터 밸브 ,Intercept Valve,"재열증기의 터빈 입구부에 있으며, 비상시에 재열증기를 제어하여 터빈의 과속을 방지하는 밸브로 터빈의 속도가 101%에 도달시 닫기기 시작하고 105%에서 완전히 닫히는 것이 많다."
인터록 ,Interlock,"기계의 각 작동부분 상호간을 전기적, 기계적, 유압적, 공압적 등의 방법으로 연결하여 기계의 각 작동부분이 정상작동의 조건을 충족하지 않을 경우에 자동적으로 그 기계가 작동되지 않도록 하는 기구를 말한다. 안전면에서는 기계의 위험부분에 설치하는 안전덮개 등이 개방되면 그 기계의 작동이 안되고, 안전장치 등이 정상으로 사용되지 않으면 기계를 작동할 수 없으며, 안전장치가 작동하면 기계가 급정지하는 등 작업자에 대한 위해방지를 위해서 여러 종류의 인터록 기구가 이용되고 있다. 인터록의 종류는 다음과 같다. 직접 수동스위치 인터록, 기계적인 인터록, 캠작동 제한스위치 인터록, 열쇠교환 시스템, 캡티브카 인터록, 시간지연장치 등이다."
자분탐상시험 ,"磁粉探傷試驗 Magnetic Particle Test, Magnetic Particle Examination, Magnetic Field Test",자성재료를 자화시켰을 경우 재료의 표면 또는 표면근방에 자속을 막는 결함이 있으면 자극이 나타나는 원리를 이용하여 자성체인 피검사체에 철분을 도포하여 결함유무를 확인하는 비파괴검사 방법의 일종이다.
자연순환보일러 ,自然循環 보일러 Natural Cir- culation Boiler,보일러수의 순환이 강수관과 상승관 유체의 밀도 차에 의해서 이루어지는 보일러. 보일러수를 자연적으로 순환시키는 보일러이다.
재열기 ,再熱器 Reheater,"주로 75MW이상의 화력발전소 보일러에서 사용된다. 증기압력이 높아짐에 따라 저압터빈 마지막 단에서 증기의 습분이 증가되므로 고압터빈에서 포화온도 가까이 팽창한 증기를 재열하여 온도를 높인 후 중, 저압터빈에 공급한다. 이에 따라 발전소 열효율의 증가 및 저압터빈 날개의 부식이 감소되며 보통 재열단수는 1단이 사용되나 최근 대용량 Plant에서는 2단 재열도 채용된다. 재열증기 온도는 일반적으로 과열기 출구 증기온도와 같은 538℃ 또는 566℃가 사용된다."
재열증기 ,再熱蒸氣 Reheat Steam,고압터빈에서 일을 한 증기를 다시 보일러에서 과열한 후 중압터빈으로 공급되는 증기이다.
재열증기 스톱밸브 ,再熱蒸氣 스톱밸브 Reheat Stop Valve,Intercept Valve 동작불량으로 재열증기의 차단이 행해지지 않는 경우를 고려하여 인터셉트밸브 바로 앞에 설치된 증기차단밸브이다.
저탄기 ,貯炭機 Stacker,운반선에서 양하기로 하역하여 벨트 컨베이어를 통하여 이송된 탄을 저탄장에 저탄하는 기기이다.
저탄장 ,貯炭場 Coal Yard/ Coal Storage Yard,야외 또는 옥내에 석탄의 수급을 조절하기 위하여 다량의 탄을 저장하는 장소이다.
저회 ,底灰 Bottom Ash,"노내의 고온 연소영역인 수냉관, 과열기, 재열기 등 열흡수 표면에 형성된 슬래그(Slag)가 자중, 급격한 출력변화, 제매작업(Soot Blowing)등에 의해 노 하부로 낙하되어 저장조로 모이는 회를 말한다."
전기집진기 ,電氣集塵器 Electrostatic Precipita- tor/ Electric Precipitator,일정간격으로 배열된 집진전극 사이에 설치된 방전전극에 직류고전압을 인가시 발생하는 코로나 방전에 의해 가스중의 입자상 물질에 전하를 부여하고 이 대전입자를 고전계 내의 쿨롱(Column)력에 의해 역전위 방향인 집진전극에 이동시켜 부착시킨 후 일정 두께로 퇴적된 후 전극에 충격을 가해 하단의 호퍼에 분진을 탈락 포집하는 장치이다.
전동기 ,電動機 Motor,전기적 입력을 기계적 동력으로 변환하는 회전전기기계를 말한다.
전력 ,電力 Electric Power,"단위 시간에 기기나 장치에서 발생 또는 소비되는 전기 에너지. 단위는 kW, W. 가정에서 사용하는 형광등은 40W로 표시한다."
절연유 ,絶緣由 Insulation Oil,"전기절연을 목적으로 원유를 분류, 정제하여 얻은 광유와 인공적으로 합성된 합성유를 말하며유입변압기/유입차단기/유입케이블/유입콘덴서 등에서 절연과 냉각목적으로 사용됨."
절탄기 ,節炭器 Economizer,"보일러의 연소가스 통로중 제일 뒤쪽에 설치되어 있으며 고압 급수가열기에서 보일러로 들어오는 급수를 보일러의 연소가스의 여열을 이용하여 포화온도 직전까지 가열한 후 Drum에 공급하도록 함으로써 보일러 효율의 상승과 Drum Metal의 열응력 감소를 도모 할 수 있도록 하는 설비. 급수의 가열정도에 따라 증발식과 비 증발식, 튜브의 사용재료에 따라 주철관형과 강관형으로 구분된다."
제어밸브 ,制御밸브 Control Valve,"제어장치의 조작부로서 조절부의 신호에 의하여 유체통로의 면적을 가감하여 유량제어 기능을 하는 밸브로 다이어프램 밸브가 가장 일반적임. 공기압신호에 의해 다이어프램이 움직여 스프링의 탄력과 평형되는 위치까지 밸브축을 이동시켜 밸브를 닫고, 공 기압이 감소하면 스프링이 다이어프램을 위로 밀어올려 밸브를 열게 된다."
증기밀봉장치 ,蒸氣密封裝置 Steam Seal Device,터빈로터가 케이싱을 관통하는 부분에 증기를 사용하여 누설을 방지하는 장치이다.
증기터빈,蒸氣터빈 Steam Turbine,증기를 작동유체로 하고 증기가 가지고 있는 열에너지를 기계적 에너지(회전력)로 변환하는 터빈이다.
지락 ,地絡 Ground Fault,대지(大地)와 전위(電位)가 다른 전기회로의 일부가 이상 상태로 대지와 전기적으로 연결되는 것을 말한다. 송배전 선로가 어떠한 요인으로 인해 지표면과 접촉하는 고장이 생겼다면 이를 지락고장이라고 한다. 
직류,直流 Direct Current(D.C),시간에 관계없이 흐르는 방향과 크기가 항상 일정한 전류를 말한다.
진공파괴,眞空破壞 Vacuum Break,터빈을 정지시킬 때 진공파괴밸브를 열어서 터빈배기실로 공기를 유입시켜 공전(空轉)시간을 단축시키는 것이다.
집진 ,集塵 Dust Collection,기체 중에 현탁부유하고 있는 고체 또는 액체의 입자상 물질을 기체로부터 분리 포집하는 조작을 말하며 각종 분진을 포함하는 기체로 청정하는 공해방지 목적이 제 1목적이며 유기물질의 회수 및 단순한 고체와 기체의 분리공정으로 사용하는 것도 있다.
차단기 ,遮斷器 Breaker/Circuit Breaker,"정상상태의 전류를 투입 통전 차단하며 단락과 같은 이상상태에 있어서 투입, 일정시간의 통전 차단이 가능한 개폐장치이다."
천연가스,天然가스 Natural Gas,"천연적으로 지하로부터 발생하는 메탄을 주성분으로 하는 가연성 가스. 천연가스를 용적을 적게 하여 대량수송 또는 대량 저장이 가능하도록 액화한 것을 액화천연가스(LNG)라 하며 납사가 주성분이며 펜탄도 일부 함유되어 액체상태로 채취되는 천연 가솔린을 NGL(Natural Gas Liquid)라 한다. 천연가스는 산출상황으로부터 유전가스, 가스전가스, 탄전가스로 분류됨. 유전가스는 석유와 생성원인이 같고 원유 속에 녹아있는 것이 채유시에 채취되는 것임. 가스전가스에는 원유로부터 유기된 가스가 유층 상부 또는 유층과는 다른 곳으로 이동하여 특정한 지질구조에 괸 것이라고 생각되는 것과 생성원인이 석유와 달리 젊은 지층속의 지하수에 녹아있는 것이 있다. "
체크밸브 ,"逆流防止밸브 Check Va- lve, Non-Retrun Valve/Reverse Current Valve",주로 유체의 배압에 의하여 디스크가 역류를 방지시키도록 작용하는 밸브의 총칭으로 유체의 흐름을 한쪽으로만 통하고 역류시에는 자동으로 닫혀서 흐름을 멈추게 한다.
초음파탐상시험,"超音波探傷試驗 Ultrasonic Test, Ultrasonic Examination","초음파를 피검사체 내부에 투사할 때 피검사체에 나타내는 음향적 성질을 이용하여 내부결함 및 재질적 성질을 파악하는 비파괴검사방법의 일종으로 펄스반사법, 투과법, 공진법 등이 있다."
촉매,觸媒 Catalyst/ Catalyser,"화학반응에 있어서 촉매는 비교적 소량이 존재하면서 자신은 변하지 않고서 반응속도를 변화시키거나 반응경로를 바꾸는 역할을 하는 물질을 말하며, 촉매는 반응이 종결된 후 소모없이 전량 회수할 수 있음. 예를 들면 수소와 산소의 혼합물은 상온에서 거의 변화하지 않지만 백금흑이 존재하면 심하게 반응한다. 이와같이 반응을 촉진시키는 촉매를 정촉매라하고 이와 반대로 반응속도를 느리게 하는 것은 부촉매 또는 음촉매라 함. 촉매는 반응 속도를 변화시킬 뿐이지 반응의 평형상태에는 영향을 주지 않음. 촉매재료는 백금, 철, 닉켈 등의 금속과 반도체, 절연체 등이 사용된다."
축류펌프 ,軸流펌프 Axial Flow Pump,"날개차에서 토출되는 흐름이 주축과 동심의 원통면 안에 있는 것 같은 프로펠러형의 날개차와 안내깃을 갖는 펌프로서 큰 비속도(약 1,2000㎥/min, rpm이상)로 사용된다. 양정의 변화에 대해 효율의 저하가 비교적 적고 대유량에서 가변 저양정(약 5m이하)의 경우에 적합하다."
축정열 ,軸整列 Alignment,"2대 이상의 회전기기를 조합할 때 축의 처짐 및 열팽창, 베어링 하중의 적정한 배분 등을 고려하면서 서로의 회전 중심선이 정확하게 일치하도록 기기를 정열하는 것이다."
커넥팅로드,Connecting Rod,"증기기관이나 내연기관 등에서 피스톤과 크랭크축을 연결하는 기관 본체의 하나로 연접봉이라고도 한다. 왕복운동을 크랭크축의 회전운동으로 바꾸어 주는 역할을 하며 피스톤핀에 연결되는 부분을 소단부(small end), 크랭크축에 연결되는 부분을 대단부(bigend)라 한다. 압축·인장·굽힘 등의 하중을 받기 때문에 꺾이거나 구부러지지 않을 정도로 굵어야 한다. 또한 운동을 원활히 전달하기 위하여 충분한 길이가 필요한데 보통 크랭크 반지름의 3∼4배 정도의 길이로 한다."
컨베이어 ,Conveyer,"가루 또는 덩어리 상태의 고체를 연속적으로 운반하는 장치이며 종류에는 벨트 컨베어, 체인 컨베어, 롤러 컨베어, 스크류 컨베어, 진동 컨베어, 유체컨베어, 공기 컨베어, 엘리 베이팅 컨베어 등이 있다."
코너연소방식 코너,燃燒方式 Corner Firing/Tan- gential Firing,연소실의 4모서리에 버너를 설치하여 연료를 연소실 중앙으로 분사하여 노중앙에 둥근 가상원(Fire Ball)을 형성하면서 연소하는 방식으로 부하변동에 따라 연료량이 변화되어도 가상원의 위치가 변동되지 않으므로 균일하게 열 흡수가 이루어지는 특징이 있다. 또한 버너 분사각도 조절장치(Tilting Device)를 설치하여 재열증기온도를 조절할 수 있으며 Overfire Air Nozzle을 설치할 수 있어 NOx 발생을 줄일 수 있다.
콘서베이터 ,Conservator,유입변압기에서 절연유가 공기와 직접적으로 접촉이 이루워지지 않도록함으로서 열화를 방지하기 위하여 변압기 상부 탱크에 설치한 원통형 용기. 이를 변압기 탱크에 연결하고 그 내부에 질소가스를 채우는 방법등으로 절연유와 공기와의 직접 접촉을 방지한다.
크리프 ,Creep,일정온도 하에서 일정하중이 작용할때 재료의 변형이 시간의 경과에 따라서 증가하는 현상이다. 
키페이저 ,Keyphasor,"로터의 한점의 이동경로를 검출하는 신호 또는 감지장치. 이 감지장치는 FFT(Fast Fou- rier Transform)와 같은 전자계측을 위한 외부 트리거 입력 신호를 위한 트리거로서 사용된다. 감지장치는 자기, 용량성, 광전자 프로브, 와류형이 있다."
탈기기,脫氣器 Deaerator,급수를 Spray로 분사하여 증기와 직접 접촉하여 가열하고 급수중에 용존되어 있는 산소등 용존 Gas를 제거하며 탈기후 용존 산소량은 0.005cc/ℓ 정도이다.
탈염장치 ,脫鹽裝置 Demineralizer,"수중에 이온상으로 용존되어 있는 불순물 즉 용해염류를 제거하여 순수를 만드는 장치로서 탈염은 이온교환수지, 전기투석, 역삼투압, 증발 등에 의한 방법이 있으며 화력발전소에서 순수를 제조하는 경우는 이온교환수지 처리에 의한 방법이 일반적이다. 이온 교환수지 처리에 의한 탈염장치의 구성은 대개 양이온교환수지탑, 탈탄산탑, 음이온교환수지탑, 양이온과 음이온의 혼상탑 순으로 구성되어 있다."
탈황 ,脫黃 Desulfurization,"중유에서 유황분을 제거하는 중유탈황과 공장의 배기가스에서 유황산화물을 제거하는배연탈황이 있으며 탈황의 목적은 중유 탈황의 경우 중유에 함유된 유황분을 미리 제거하여 중유연소가스중에 유황산화물을 경감하고 대기오염을 방지하는데 있으며 배연탈황의 경우에는 석탄가스, 코크스, 중유 등의 연소가스 중에 함유된 유황산화물을 제거시키고 대기오염을 방지하는데 있다."
태양광발전 ,太陽光發電 Solar Photovoltaic,"태양 에너지에 의한 발전 기술의 한 가지로 태양의 빛 에너지를 태양 전지라는 광전 변환기를 써서 직접 전기 에너지로 변환시켜 이용하는 것으로 이는 부분적으로 빛을 이용하는 것이기 때문에 흐린 날에도 이용이 가능하여 태양 에너지 이용 효율이 열발전에 비해 높다. 태양 에너지에 의한 발전 기술에는 이 밖에도 태양열 발전이 있는데, 이는 태양열을 모아 물을 데운 후 증기 터빈을 돌려 발전하는 것이다."
태양열발전 ,太陽熱發電 Solar Thermal Electric Power Generation,"태양열발전이란 태양광선에 의한 열에너지를 효율적으로 모아 열원으로 하여 이 열에너지를 열기관을 사용해서 기계에너지로 바꾸어 터빈 발전기를 회전시킴으로써 전기에너지를 만들어내는 발전방식이다. 집광렌즈와 흡수체로 구성된 집열기로 태양열에너지를 모아 이 열에너지로 흡수체에 싸여 있는 파이프의 열매체를 가열한다. 가열된 열매체는 열교환기를 통해 순환하며, 같은 열교환기 속을 통하는 다른 파이프의 열매체가 가열된다. 가열된 열매체는 증기터빈ㆍ복수기의 순으로 열에너지를 소비하면서 다시 열교환기로 루프를 구성하여 원위치로 되돌아온다. 열교환기는 항상 열에너지를 축적하고, 밤이나 비가 올 경우에는 발전할 수 있도록 증기터빈에 열에너지를 공급하는 기능을 갖추고 있다. 태양열발전에 사용하는 터빈에는 증기터빈 가스터빈 유기매체 터빈 등이 있는데, 집열온도는 300~500℃정도로 대용량형의 증기 터빈을 주로 사용한다. 집열온도가 낮은 경우에는 끓는점이 낮은 프레온가스 등의 매체를 사용한 유기매체 터빈을 이용한다. 일반전력 공급 외에 폐열을 지역난방에 이용하는 방법도 시도되고 있다."
터닝기어 ,Turning Gear,"터빈기동, 정지시 로터를 저속으로 회전시키는 장치이다."
터빈 ,Turbine,"물, 가스, 증기 등의 유체를 노즐로 내뿜게 하여 기계적 에너지를 얻는 원동기. 유체의종류에 따라 수력터빈, 증기터빈, 가스터빈 등으로 구별된다."
터빈로터,Turbine Rotor,고온고압의 증기를 노즐 또는 고정날개로부터 회전날개에 충돌시켜서 일을 얻는 회전체로. 일체식과 조립식이 있다. 블레이드를 포함한 Shaft를 터빈로터 라고도 한다.
토크콘버터 ,Torque Converter,가스터빈 기동시 기동장치의 구동력을 가스터빈으로 전달하는 유압동력전달 장치로써 가스터빈이 자력운전속도(2300-2400rpm)에 이르면 기동장치를 가스터빈과 분리하여 구동력을 차단하고 가스터빈 기동장치나 터닝장치의 구동력을 가스터빈기동에 적절한 속도로 변환시켜주는 기능이 있다.
통풍 ,通風 Draft/Draught,"연료가 연소하기 위한 공기의 유입과 연소가스의 배출과의 연속적인 흐름을 말하며, 이 흐름을 만드는 압력원에 따라 자연통풍, 압입통풍, 평형통풍으로 구분한다."
틸팅버너 ,Tilting Burner,"코너연소 방식에서 버너의 분사각도를 조절함으로서 화염의 중심점을 상, 하로 조정하여 재열증기의 온도를 조정할 수 있는 버너로서 일반적으로 버너의 분사각도는 상하 각각 30˚ 까지 조정할 수 있다."
팬 ,Fan,"임펠러의 회전운동이 연속적으로 기체를 압송하는 기계장치로 배출구와 흡입구에서 기체의 압력비 1.1 미만 또는 배출압력이 1,000mmAg 이하에 사용한다."
펌프,Pump,"압력의 작용에 의하여 액체 또는 기체를 수송하는 장치로 용도에 따라서 양수, 배수, 송수, 압축용 펌프 등의 종류가 있다."
포밍,Foaming,"보일러 수중의 불순물이 증기중에 혼입되어 과열기나 터빈 등 증기계통으로 운반되는 기수공발의 일종으로 주로 수중에 함유된, 유지류, 유기물 및 고형물질 등의 영향을 받아 생성된 기포가 수면에 떠올라도 소멸되지 않고 두꺼운 거품층을 형성하여 불순물이 증기계통으로 유입되는 현상을 말함. 이는 화학물질의 종류와 존재상태에 따라 발생하는 화학적 기수공발이라 할 수 있으므로 보일러수 중의 용해성 및 현탁 고형물 농도를 기준치 이하로 유지하여 알칼리성 유입을 제한하는 등 엄격한 수질관리를 행하여 미연에 방지해야 한다."
포핏밸브 ,Poppet Valve,내연기관의 흡/ 배기 밸브에 사용되며 약간 복잡하나 차단작용이 확실하며/ 장시간 사용에 견딜수 있다.
풍력발전 ,風力發電 Wind Force Power Genera- tion,"공기의 유동이 가진 운동에너지의 공기역학적(Aero-Dynamic)특성을이용하여회전자(Rotor)를 회전시켜 기계적 에너지로 변환시키고 이 기계적 에너지로 전기를 얻는 기술이다. 풍력 발전기는 지면에 대한 회전축의 방향에 따라 수평형 및 수직형으로 분류되고, 주요 구성요소로는 날개(Blade)와 허브(Hub)로 구성된 회전자와 회전을 증속하여 발전기를 구동시키는 증속장치(Gear Box), 발전기 및 각종 안전장치를 제어하는 제어장치, 유압 브레이크 장치와 전력 제어장치 및 철탑 등으로 구성된다.풍력발전은 어느 곳에나 산재되어 있는 무공해, 무한정의 바람을 이용하므로 환경에 미치는 영향이 거의 없고, 국토를 효율적으로 이용할 수 있으며, 대규모 발전단지의 경우에는 발전단가도 기존의 발전방식과 경쟁 가능한 수준의 신에너지 발전기술이다.2002년말 기준 풍력발전소는 4개소(제주 북제주군, 경북 울릉도, 경북 포항, 전북 군산)이며, 총 16기 10,575kW 규모이다.풍력사업의 규모가 커지면서, 단위기 용량도 크게 증가하고 있는 추세이다. 현재는 제주와 전북에서 운영 중인 750kW이 최대용량이지만, 몇 년 내로 1,500～2,000kW급이 상용화될 것으로 전망되고 있다"
풍손 ,風損 Ventilation Loss,"충동터빈에서 증기의 부분유입으로 증기실에서 와류가 발생함으로써 생기는 손실이며, 경부하시 증기량이 적어 통로를 다 채우지 못할때 발생한다."
플래시탱크,Flash Tank,"높은 온도 및 압력을 가지고 있는 물의 압력을 떨어뜨려 증기를 만드는 장치. 관류 보일러에서 보일러수의 연속블로어에 의한 열손실을 회수하는 장치로서 Benson형은 과열기 출구, Sulzer형은 증발관 출구에 설치한다. 압력강하에 의해서 발생된 증기는 탈기기 및 급수 가열기의 가열원으로 사용된다."
플러싱,Flushing,"용기 및 관 계통을 유체의 속도, 충격 등을 이용하여 세정하는 것이다."
피뢰기 ,避雷器 Arrester/Lightning Arrester/Lig- htning Guard,낙뇌 또는 회로의 개폐등의 원인으로 과전압의 파고치가 정격치를 초과하였을 경우 방전에 의해 과전압을 제한하여 전기시설을 보호하고 속류를 단시간에 차단하여 계통의 정상상태를 무너뜨리지 않고 원상으로 스스로 복귀하는 기능을 가진 장치이다.
피스톤 ,Piston,실린더 내에서 직접 가스압력을 받아 실린더 내를 왕복하는 부분품으로 피스톤에 가해진 동력을 크랭크축에 전달하여 크랭크축의 회전운동으로 바꾼다.
핀홀 ,Pin Hole,"주물, 도금, 용접부 들에 발생하는 미소한 기공 또는 작은 구멍을 말한다. 발전소의 보일러 튜브나 복수기 튜브 등에 발생한 조그만 구멍. 포어(Pore), 피트(Pit) 라고도 한다."
